pitch_uid,pitch_no,date,pa_of_inning,pitch_of_pa,pitcher_name,pitcher_id,pitcher_throws,pitcher_team_id,pitcher_team_name,batter_name,batter_id,batter_side,batter_team_id,batter_team_name,inning,top_bottom,outs,balls,strikes,pitch_type,pitch_type_abbr,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,rel_speed,spin_rate,spin_axis,rel_height,rel_side,extension,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,vert_appr_angle,horz_appr_angle,exit_speed,launch_angle,bat_speed,swing_length,distance,catcher_name,catcher_id,home_team_id,home_team_name,home_team_conf,away_team_id,away_team_name,away_team_conf,game_id,game_type,season,pitch_group,pitch_group_abbr,count_type,is_zone,is_strike,is_swing,zone_label,zone_num_14,pitch_call_prev,pitch_type_prev,pitch_group_prev,pa_id,pa_result,woba_value
2024-745444-1,1,3/20/24,1,1,"Darvish, Yu",506433,Right,SD,SD,"Betts, Mookie",605141,Right,LAD,LAD,1,Top,0,0,0,Fastball,FB,BallCalled,NA,NA,NA,NA,0,94.5,2395,201,5.83,1.79,6.6,17.4,6.24,2.38,-1.4,-5.007101096,-2.876364294,NA,NA,NA,NA,NA,669134,669134,SD,SD,Non-D1,LAD,LAD,Non-D1,745444,R,2024,Fastball,FB,F-Pitch,FALSE,FALSE,FALSE,Chase,13,NA,NA,NA,745444_1_1_506433_605141,NA,NA
2024-745444-2,2,3/20/24,1,2,"Darvish, Yu",506433,Right,SD,SD,"Betts, Mookie",605141,Right,LAD,LAD,1,Top,0,1,0,Fastball,FB,FoulBall,NA,NA,NA,NA,0,92.6,2304,189,5.83,1.94,6.2,19.2,3,3.02,-0.56,-4.356209852,-2.423886114,73.5,26,NA,NA,NA,669134,669134,SD,SD,Non-D1,LAD,LAD,Non-D1,745444,R,2024,Fastball,FB,Early,TRUE,TRUE,TRUE,Edge,1,BallCalled,Fastball,Fastball,745444_1_1_506433_605141,NA,NA
2024-745444-3,3,3/20/24,1,3,"Darvish, Yu",506433,Right,SD,SD,"Betts, Mookie",605141,Right,LAD,LAD,1,Top,0,1,1,Sinker,SI,BallCalled,NA,NA,NA,NA,0,93.4,2325,237,5.7,2,6.3,12.36,17.04,2.52,-0.73,-5.267766281,-1.409406838,NA,NA,NA,NA,NA,669134,669134,SD,SD,Non-D1,LAD,LAD,Non-D1,745444,R,2024,Fastball,FB,Early,FALSE,FALSE,FALSE,Edge,11,FoulBall,Fastball,Fastball,745444_1_1_506433_605141,NA,NA
2024-745444-4,4,3/20/24,1,4,"Darvish, Yu",506433,Right,SD,SD,"Betts, Mookie",605141,Right,LAD,LAD,1,Top,0,2,1,Sinker,SI,BallCalled,NA,NA,NA,NA,0,93.9,2394,233,5.7,2.17,5.9,13.08,16.08,2.9,2.02,-4.757655916,1.272678612,NA,NA,NA,NA,NA,669134,669134,SD,SD,Non-D1,LAD,LAD,Non-D1,745444,R,2024,Fastball,FB,B-Ahead,FALSE,FALSE,FALSE,Waste,12,BallCalled,Sinker,Fastball,745444_1_1_506433_605141,NA,NA
2024-745444-5,5,3/20/24,2,1,"Darvish, Yu",506433,Right,SD,SD,"Ohtani, Shohei",660271,Left,LAD,LAD,1,Top,0,0,0,Fastball,FB,BallCalled,NA,NA,NA,NA,0,95.7,2366,201,5.77,2.13,6.2,18.12,6.48,3.62,-1.03,-3.462676431,-2.824333993,NA,NA,NA,NA,NA,669134,669134,SD,SD,Non-D1,LAD,LAD,Non-D1,745444,R,2024,Fastball,FB,F-Pitch,FALSE,FALSE,FALSE,Chase,11,NA,NA,NA,745444_1_2_506433_660271,NA,NA
2024-745444-6,6,3/20/24,2,2,"Darvish, Yu",506433,Right,SD,SD,"Ohtani, Shohei",660271,Left,LAD,LAD,1,Top,0,1,0,Cutter,CT,FoulBall,NA,NA,NA,NA,0,91.3,2547,183,5.61,2.1,6.1,11.28,0.48,2.05,-0.05,-5.960678741,-2.263684518,NA,NA,NA,NA,NA,669134,669134,SD,SD,Non-D1,LAD,LAD,Non-D1,745444,R,2024,Breaking Ball,BRK,Early,TRUE,TRUE,TRUE,Heart,8,BallCalled,Fastball,Fastball,745444_1_2_506433_660271,NA,NA
2024-745444-7,7,3/20/24,2,3,"Darvish, Yu",506433,Right,SD,SD,"Ohtani, Shohei",660271,Left,LAD,LAD,1,Top,0,1,1,Splitter,SP,BallCalled,NA,NA,NA,NA,0,90.7,1357,281,5.65,2,5.7,-1.32,11.76,1.74,0.33,-7.487871806,-0.745306479,NA,NA,NA,NA,NA,669134,669134,SD,SD,Non-D1,LAD,LAD,Non-D1,745444,R,2024,Offspeed,OFF,Early,TRUE,FALSE,FALSE,Heart,9,FoulBall,Cutter,Breaking Ball,745444_1_2_506433_660271,NA,NA
2024-745444-8,8,3/20/24,2,4,"Darvish, Yu",506433,Right,SD,SD,"Ohtani, Shohei",660271,Left,LAD,LAD,1,Top,0,2,1,Splitter,SP,InPlay,NA,GroundBall,FieldersChoice,1,0,91.1,1502,264,5.58,2.05,5.8,2.64,15.96,2.82,0.8,-5.893593179,0.085079752,77.9,-13,NA,NA,11,669134,669134,SD,SD,Non-D1,LAD,LAD,Non-D1,745444,R,2024,Offspeed,OFF,B-Ahead,FALSE,TRUE,TRUE,Edge,12,BallCalled,Splitter,Offspeed,745444_1_2_506433_660271,"In Play, Fielders Choice",0.07672425
2024-745444-9,9,3/20/24,3,1,"Darvish, Yu",506433,Right,SD,SD,"Freeman, Freddie",518692,Left,LAD,LAD,1,Top,1,0,0,Sinker,SI,StrikeCalled,NA,NA,NA,NA,0,95,2293,241,5.64,2.03,6.1,9.96,15.84,2.32,-0.62,-5.473380351,-1.431593928,NA,NA,NA,NA,NA,669134,669134,SD,SD,Non-D1,LAD,LAD,Non-D1,745444,R,2024,Fastball,FB,F-Pitch,TRUE,TRUE,FALSE,Edge,4,NA,NA,NA,745444_1_3_506433_518692,NA,NA
2024-745444-10,10,3/20/24,3,2,"Darvish, Yu",506433,Right,SD,SD,"Freeman, Freddie",518692,Left,LAD,LAD,1,Top,1,0,1,Curveball,CB,StrikeSwinging,NA,NA,NA,NA,0,73.4,2542,32,5.74,1.52,6.1,-16.32,-11.28,1.84,0.27,-10.4274483,-2.335624298,NA,NA,NA,NA,NA,669134,669134,SD,SD,Non-D1,LAD,LAD,Non-D1,745444,R,2024,Breaking Ball,BRK,Early,TRUE,TRUE,TRUE,Heart,9,StrikeCalled,Sinker,Fastball,745444_1_3_506433_518692,NA,NA
